learning_rate,batch_size,hidden_sizes,avg_loss
0.001,64,"[20, 10, 8, 6, 5]",0.04093488132975136
0.001,64,"[30, 20, 10]",0.04329169253245569
0.0005,64,"[20, 10, 8, 6, 5]",0.05437092296779156
0.001,128,"[20, 10, 8, 6, 5]",0.05676360485645441
0.001,128,"[30, 20, 10]",0.05904516377128088
0.001,128,"[40, 20]",0.059584964926426225
0.001,64,"[40, 20]",0.07055596534449321
0.0005,128,"[30, 20, 10]",0.08762563105959159
0.0005,64,"[40, 20]",0.08862060480392896
0.001,256,"[30, 20, 10]",0.0931553595832416
0.001,256,"[20, 10, 8, 6, 5]",0.09690408089331218
0.0005,64,"[30, 20, 10]",0.1330871945963456
0.0005,256,"[30, 20, 10]",0.158071083681924
0.001,256,"[40, 20]",0.16923017161233084
0.0005,128,"[40, 20]",0.18154916281883532
0.0005,128,"[20, 10, 8, 6, 5]",0.21825063572480127
0.0001,64,"[30, 20, 10]",0.37680522295144886
0.0005,256,"[20, 10, 8, 6, 5]",0.41430949739047457
0.0005,256,"[40, 20]",0.4375979346888406
0.0001,64,"[40, 20]",0.48352329203715694
0.0001,128,"[40, 20]",0.6459269386071426
0.0001,64,"[20, 10, 8, 6, 5]",0.6468386810559493
0.0001,128,"[30, 20, 10]",0.6913694739341736
0.0001,256,"[30, 20, 10]",0.8617768798555646
0.0001,256,"[40, 20]",0.8711742758750916
0.0001,128,"[20, 10, 8, 6, 5]",0.9254492154488196
0.0001,256,"[20, 10, 8, 6, 5]",1.0277970688683646
